Nomor Kontrak,Kategori,Uraian Pekerjaan,Unit,Harga Satuan,Update Terakhir
7207250142,MONTHLY BASIS,"Jasa Sewa Alat Berat Monthly Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Truck Mounted Crane (TMC) Capacity 8 T",Month,131224000,2026-09-10 11:51:00
7207250142,MONTHLY BASIS,"Jasa Sewa Alat Berat Monthly Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Man Lift Capacity 227 Kg",Month,62818000,2026-09-10 11:51:00
7207250142,MONTHLY BASIS,"Jasa Sewa Alat Berat Monthly Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Mobile Crane Capacity 80 T",Month,189241000,2026-09-10 11:51:00
7207250142,MONTHLY BASIS,"Jasa Sewa Alat Berat Monthly Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Backhoe Loader 70 - 100 HP",Month,75538000,2026-09-10 11:51:00
7207250142,MONTHLY BASIS,"Jasa Sewa Alat Berat Monthly Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Vacuum Truck 10.000 L",Month,78225000,2026-09-10 11:51:00
7207250142,ON-CALL BASIS,"Jasa Sewa Alat Berat On Call Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Dump Truck 4 Ton min 120PS",Day,1936000,2026-09-10 11:51:00
7207250142,ON-CALL BASIS,"Jasa Sewa Alat Berat On Call Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Excavator 130-150 HP",Day,4746000,2026-09-10 11:51:00
7207250142,ON-CALL BASIS,"Jasa Sewa Alat Berat On Call Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Motor Grader 100 - 200 HP",Day,5340000,2026-09-10 11:51:00
7207250142,ON-CALL BASIS,"Jasa Sewa Alat Berat On Call Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Single Drum Compactor 10 Ton",Day,4231000,2026-09-10 11:51:00
7207250142,ON-CALL BASIS,"Jasa Sewa Alat Berat On Call Basis (Include Operator, Rigger, Helper, BBM & Sertifikasi), Tank Truck 5000 L",Day,2215000,2026-09-10 11:51:00
